BurstID,Date,MJD(topo@1.5GHz),MJD(bary@inf freq.),DM(pc/cc),DM_err(pc/cc),Weff(ms),Weff_err(ms),Flux(mJy),Flux_err(mJy),Bandwidth(MHz),Bandwidth_err(MHz),Lower_Freq.(MHz),Lower_Freq_err(MHz),Center_Freq.(MHz),Center_Freq_err(MHz),Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,Fluence(mJy ms),Fluence_err(mJy ms),Energy(erg),Energy_err(erg),note,bestfit
B00056,20240215,60355.135587377,60355.131203554,528.5,0.1,2.93,0.17,107.17,2.59,269.2,15.6,1002.6,1,1137.2,7.8,1271.7,15.5,0.000049152,4096,313.89,20.14,3.59294E+37,3.10614E+36,,CDF
B00057,20240215,60355.136487428,60355.132103605,530.6,0.3,3.46,0.47,54.16,1.34,241.4,10.5,1033,6,1153.7,5.2,1274.4,8.6,0.000049152,4096,187.54,25.85,1.92506E+37,2.78261E+36,,CDF
B00058,20240215,60355.139921318,60355.135537492,528.5,0.2,1.39,0.15,62.94,3.82,207.1,7.5,977.1,4.1,1080.7,1.6,1184.2,4.1,0.000049152,4096,87.46,10.65,7.70184E+36,9.78423E+35,,Gaussian
B00059,20240215,60355.140748701,60355.136364874,528.5,0.1,2.92,0.1,319.17,9.67,174.9,9.9,1002.5,1,1090,4.9,1177.4,9.8,0.000049152,4096,932.23,41.6,6.93294E+37,4.99724E+36,,CDF
B00060,20240215,60355.141130380,60355.136746553,528.4,0.1,1.85,0.09,142.27,5.86,309.4,11.6,1008,3.7,1162.7,5.8,1317.4,11,0.000049152,4096,263.25,16.44,3.46332E+37,2.52303E+36,,CDF
B00061,20240215,60355.143427745,60355.139043916,530.8,0.2,2.43,0.12,84.25,5.92,361.5,28.5,1128,6.4,1308.7,14.3,1489.5,27.8,0.000049152,4096,204.43,17.71,3.14243E+37,3.6813E+36,,CDF
B00062,20240215,60355.144552092,60355.140168262,528.6,0.2,2.77,0.36,50.72,1.43,205.3,24.5,959.2,13.4,1061.8,5.4,1164.5,13.4,0.000049152,4096,140.43,18.71,1.22593E+37,2.19245E+36,,Gaussian
B00063,20240215,60355.144938445,60355.140554615,528.4,0.1,2.45,0.11,252.02,6.57,117.4,5,1002.5,0.9,1061.3,2.5,1120,4.9,0.000049152,4096,617.92,32.15,3.08463E+37,2.07394E+36,,CDF
B00064,20240215,60355.146927340,60355.142543509,528.3,0.1,3.06,0.06,335.5,21.88,282.4,7.3,1010.9,3.7,1152.1,3.5,1293.3,6.3,0.000049152,4096,1025.83,69.9,1.23182E+38,8.97705E+36,,CDF
B00065,20240215,60355.148678526,60355.144294693,528.7,0.1,1.54,0.06,207.01,9.86,277,19.2,1222.3,19.2,1360.8,9.6,1499.3,1,0.000049152,4096,318.04,19.47,3.74594E+37,3.46422E+36,,CDF
