,BurstID,Date,MJD,MJD(bary@inf freq.),DM,DMError,width,widtherror,flux,fluxerror,bandwidth,bandwidtherror,Lower_Freq.(MHz),Lower_Freq_err(MHz),feakfrequency,feakfrequencyerror,Upper_Freq.(MHz),Upper_freq_err(MHz),Tsamp(s),Nchan,fluence_mJyms,fluenceerror,energy,energyerror,note,bestfit,saturation_tag
82,B00083,20240221,60361.186377124,60361.182016173,528.6,0.1,1.28,0.05,434.1,25.39,332.4,8.0,1166.9,7.9,1333.2,4.0,1499.4,0.8,4.9152e-05,4096,555.69,40.01,7.854170000000001e+37,5.96245e+36,high RFI,CDF,False
83,B00084,20240221,60361.18688562,60361.182524673,527.9,0.6,3.37,0.26,93.53,1.93,137.8,6.3,1007.6,3.1,1076.5,3.2,1145.4,5.5,4.9152e-05,4096,315.58,24.83,1.8490999999999998e+37,1.68262e+36,NA,CDF,False
84,B00085,20240221,60361.187337286,60361.182976343,530.1,0.2,3.72,0.15,232.88,5.65,206.1,4.9,1002.9,1.1,1105.9,2.5,1209.0,4.8,4.9152e-05,4096,867.38,40.59,7.6014e+37,3.99003e+36,NA,CDF,False
85,B00086,20240221,60361.188546652,60361.18418572,528.1,0.1,3.14,0.05,3185.51,151.53,496.7,1.3,1002.6,0.9,1250.9,0.7,1499.3,1.0,4.9152e-05,4096,9998.32,501.68,2.1116699999999998e+39,1.061e+38,high RFI,CDF,True
86,B00087,20240221,60361.188918956,60361.184558027,527.8,0.3,2.72,0.38,128.56,3.72,53.9,8.9,1002.8,1.3,1029.8,4.5,1056.8,8.8,4.9152e-05,4096,349.13,49.47,8.001749999999999e+36,1.74097e+36,NA,CDF,False
87,B00088,20240221,60361.190977697,60361.186616786,528.3,0.2,1.51,0.06,1030.62,49.24,299.3,15.4,1200.0,15.4,1349.6,7.7,1499.3,1.0,4.9152e-05,4096,1555.94,96.79,1.98018e+38,1.5985700000000001e+37,NA,CDF,False
88,B00089,20240221,60361.191559169,60361.187198263,526.5,1.1,1.58,0.26,36.43,1.86,178.7,35.7,1078.6,25.3,1167.9,25.3,1257.3,25.3,4.9152e-05,4096,57.42,9.93,4.3631099999999996e+36,1.1530399999999999e+36,NA,Manual,False
89,B00090,20240221,60361.192966473,60361.188605579,530.1,0.1,2.41,0.09,499.78,18.97,397.6,3.7,1002.4,0.8,1201.3,1.9,1400.1,3.6,4.9152e-05,4096,1204.31,63.83,2.0360399999999997e+38,1.09565e+37,NA,CDF,False
90,B00091,20240221,60361.194415224,60361.190054343,529.6,0.3,2.56,0.1,97.98,5.73,320.0,20.9,1022.1,4.1,1182.1,10.5,1342.1,20.5,4.9152e-05,4096,250.76,17.68,3.4120100000000004e+37,3.27933e+36,NA,CDF,False
91,B00092,20240221,60361.194416084,60361.190055203,528.0,0.1,3.59,0.06,792.26,38.13,269.7,13.0,993.1,7.0,1127.9,2.7,1262.8,7.0,4.9152e-05,4096,2844.56,144.59,3.26212e+38,2.28518e+37,high RFI,Gaussian,False
