mjd_day,telescope,unique_hours
60557,stk,2.5820524723967537
60558,wb,1.9312310404493473
60559,wb,5.289922381751239
60560,wb,3.235443804936949
60561,wb,2.1261470225290395
60562,tr,1.5291625019162893
60562,wb,5.296367021917831
60563,tr,3.796373791177757
60563,wb,5.291938365146052
60564,tr,0.8394399153767154
60564,wb,2.9733015298261307
60565,wb,2.3886129063321277
60566,wb,5.0799794139456935
60567,wb,2.2417318575899117
60568,wb,2.2420231290743686
60569,wb,2.2414405868039466
60570,wb,2.2420231288997456
60572,tr,3.6994275642209686
60572,wb,2.740023946913425
60573,tr,0.08472128439461812
60573,wb,2.739441403769888
60574,wb,2.73944140446838
60575,tr,2.3874901870731264
60575,wb,2.73944140446838
60576,tr,3.6999836811446585
60576,wb,2.738858862023335
60577,tr,0.4816638668999076
60577,wb,2.7397690844954923
60578,tr,3.9322095241514035
60578,wb,2.7391865429235622
60579,tr,0.24027654208475724
60579,wb,2.7383491378859617
60580,tr,3.9922119652619585
60580,wb,3.3129977782373317
60581,tr,0.15833319554803893
60581,wb,4.797869974456262
60582,wb,4.796459449280519
60583,tr,4.156383098219521
60583,wb,4.793050239561126
60584,wb,4.798111343057826
60585,wb,4.797565208806191
60586,tr,3.163883591245394
60586,wb,4.796668479975779
60587,wb,4.794201832031831
60588,wb,4.051255751342978
60589,tr,3.959994684846606
60589,wb,4.051219342276454
60590,stk,2.0787960945745
60590,wb,0.0799658844480291
60591,wb,3.983715271227993
60592,stk,2.1236130095785484
60592,tr,3.951653635420371
60592,wb,3.984589084109757
60593,wb,4.165950986556709
60594,stk,2.8846723830210976
60594,wb,4.299771644873545
60595,wb,4.233188996091485
60596,wb,4.232824906997848
60597,stk,1.7918338541057892
60597,tr,4.353323333663866
60599,wb,4.233407449617516
60601,tr,4.143873231019825
60601,wb,4.232133138750214
60602,stk,1.3914215159020387
60604,stk,3.806487195251975
60604,wb,4.23085882718442
60607,tr,3.9485952890245244
60607,wb,4.232460817729589
60608,wb,4.230749599984847
60609,wb,3.236641226860229
60612,wb,4.23260645364644
60613,wb,4.231514186714776
60614,tr,3.960271165240556
60614,wb,4.233152587024961
60618,tr,3.9527652442920953
60618,wb,4.234317671565805
60620,wb,4.233407448919024
60621,tr,3.9424831467331387
60624,wb,4.234026400605217
60625,tr,3.7619394273497164
60627,wb,4.100660641095601
60628,tr,3.5574898576014675
60631,wb,4.234572533459868
60632,tr,3.7597162092570215
60635,tr,3.7619394273497164
60639,tr,3.5641617873916402
60641,wb,4.233152587199584
60643,wb,4.232023911376018
60645,tr,4.738314346410334
60645,wb,2.2417318577645347
60646,wb,4.233771538187284
60649,tr,4.35499245399842
60650,wb,3.237733494141139
60652,wb,3.238024764053989
60654,tr,4.3530479918117635
60654,wb,3.238024765450973
60656,wb,3.2363135471823625
60658,tr,4.357215672789607
60658,wb,4.730570862244349
60661,wb,4.731153405213263
60663,tr,3.958605458436068
60663,wb,4.732901031675283
60664,stk,3.8039531368995085
60667,tr,3.954157884581946
60667,wb,4.7316995384171605
60669,wb,4.73202721826965
60673,wb,4.732318490277976
60674,tr,3.961105156573467
60675,wb,4.732282079989091
60677,tr,3.9569374757702462
60679,wb,4.731444675475359
60681,tr,3.9483165331184864
60682,wb,8.214828960131854
60683,dw,3.4698924970580265
60683,tr,3.959160693688318
60683,wb,8.21697708562715
60684,dw,1.9288410523440689
60684,tr,4.565540510695428
60684,wb,0.49829208879964426
60685,dw,3.188270199811086
60685,wb,7.717010187800042
60686,dw,1.8993589781457558
60686,tr,4.571650377998594
60686,wb,5.728065263014287
60687,tr,4.170819223159924
60687,wb,8.211989067087416
60688,wb,8.214173600601498
60690,stk,4.016509201086592
60690,wb,5.727773991879076
60691,wb,8.219489298819099
60692,stk,9.994678848073818
60692,wb,4.481497636064887
60693,wb,4.48288117343327
60694,stk,4.17403055971954
60694,wb,1.4943301335442811
60695,wb,8.215520729951095
60696,tr,4.364156115276273
60696,wb,4.483427307161037
60697,o8,7.220128943037707
60697,stk,7.2023801858886145
60697,wb,1.245730222610291
60698,tr,4.380257946148049
60698,wb,8.214719733281527
60699,wb,4.484337529283948
60700,stk,4.207362654735334
60700,wb,8.217413991806097
60701,wb,3.4874620802002028
60702,wb,8.213663876114879
60703,stk,3.2881158826639876
60703,tr,4.1752622437197715
60703,wb,4.481716089241672
60704,wb,8.217778080725111
60705,tr,4.166098582092673
60705,wb,2.2411493160179816
60707,wb,4.482844764541369
60708,stk,1.9699005061411299
60708,wb,8.21715912973741
60709,wb,0.2494373156223446
60710,tr,4.380813181749545
60710,wb,8.216831449011806
60711,stk,8.337981197051704
60711,wb,1.7712196981301531
60712,wb,5.977138489019126
60713,stk,7.728334256331436
60713,wb,4.482262222794816
60714,wb,1.9931319466559216
60715,wb,4.481679680175148
60716,wb,8.215047413832508
60717,wb,3.48545959132025
60725,tr,3.979705546866171
60747,tr,3.5849831193918362
60747,wb,3.9851352180121467
60749,wb,3.984880356292706
60752,wb,2.49084149353439
60754,wb,3.9860090317670256
60756,wb,3.9849167651846074
60759,wb,3.985171627427917
60760,tr,3.5844278839649633
60770,tr,3.5858159728813916
60773,wb,1.743510897969827
60775,wb,2.739441404817626
60777,tr,3.983036959427409
60777,wb,2.7396962668863125
60782,wb,2.739732675778214
60784,tr,4.381646035762969
60784,wb,2.740023946564179
60786,wb,2.7402788096806034
60789,tr,4.381646035937592
60790,wb,2.740023947088048
60792,wb,2.7405700802919455
60795,tr,4.380257947545033
60795,wb,2.7405700801173225
60797,wb,2.522116711072158
60798,tr,4.577480352425482
60799,wb,2.740606489707716
60803,stk,8.030566870816983
60803,tr,4.97747751645511
60803,wb,2.740315217874013
60804,wb,5.23115671123378
60805,tr,4.977755134168547
60805,wb,5.896711236680858
60806,stk,8.080395590106491
60806,wb,5.229117813985795
60807,wb,5.230282898875885
60808,stk,2.7527508423663676
60808,tr,4.393328735721298
60808,wb,2.99000739591429
60809,wb,4.069348978693597
60810,stk,7.930317179358099
60810,tr,4.792494184453972
60810,wb,5.230282898177393
60811,wb,5.349012285238132
60812,stk,7.685248462599702
60812,tr,4.791936673340388
60812,wb,5.2314476093743
60813,stk,4.006527340156026
60813,wb,5.346426879870705
60814,tr,4.39137744664913
60814,wb,7.224616338615306
60815,wb,8.586454525531735
60816,tr,4.493607922573574
60816,wb,5.348102062416729
60817,stk,0.10432223015232012
60817,wb,5.1090048181358725
60818,stk,10.290602931927424
60818,wb,5.230901850212831
60819,tr,4.592214571195655
60819,wb,5.3489758763462305
60820,stk,7.28959063970251
60820,wb,5.230865440971684
60821,tr,4.593050837866031
60821,wb,5.346682115632575
60822,stk,4.16215058171656
60822,wb,5.232030524814036
60823,tr,4.79221542889718
60823,wb,6.095576605468523
60824,stk,9.739932163618505
60824,wb,4.841545155853964
60825,stk,0.7893282333388925
60826,stk,9.68173908116296
60827,tr,4.592772082483862
60829,tr,4.592772082483862
60830,stk,4.630094491993077
60831,stk,9.454245325934608
60831,wb,2.2376176535035484
60832,tr,4.593050837866031
60838,wb,0.9960380443953909
60839,wb,2.2384914667345583
60841,tr,4.591935815289617
60845,wb,1.494038862758316
60846,wb,4.077409902471118
60847,tr,4.1930491219391115
60847,wb,4.997360658366233
60851,wb,4.409541475586593
60852,tr,4.5922145713702776
60852,wb,3.5576342048007064
60853,wb,4.541818685189355
60854,wb,3.43078191956738
60855,wb,4.673404390923679
60856,wb,3.29712090769317
60863,tr,4.1933278778451495
60874,wb,1.2459850845043547
60875,wb,4.123536017665174
60876,wb,3.8490645872661844
60877,wb,4.251771839917637
60878,tr,0.09972222213400528
60878,wb,3.7193360004457645
60879,tr,3.89416230894858
60879,wb,4.385687716130633
60880,wb,3.586002667550929
60881,wb,4.513959946925752
60882,wb,3.457439164747484
60883,wb,3.9013115027337335
60884,wb,2.0789581516874023
60885,wb,4.029911413730588
60886,tr,0.8147197859943844
60886,wb,1.9501033786218613
60887,tr,3.3747089279349893
60887,wb,3.4158066135132685
60888,wb,1.86813194694696
60889,wb,3.493845617864281
60890,wb,1.8726105069508776
60891,wb,3.493554346903693
60892,wb,1.5531619914108887
60893,wb,1.627066151413601
