,scan_name,scan_no,Telescope,Source_Name,Obs_Date_String,MJD_start_time,RA_J2000,RA_J2000_(deg),Dec_J2000,Dec_J2000_(deg),Tracking?,Azimuth_(deg),Zenith_Ang_(deg),Number_of_polns,Sample_time_(us),Central_freq_(MHz),Low_channel_(MHz),High_channel_(MHz),Channel_width_(MHz),Number_of_channels,Total_Bandwidth_(MHz),Beam,Beam_FWHM_(deg),Spectra_per_subint,Spectra_per_file,Time_per_subint_(sec),Time_per_file_(sec),bits_per_sample,bytes_per_spectra,samples_per_spectra,bytes_per_subint,samples_per_subint,zero_offset,Invert_the_band?,bytes_in_file_header,MJD_end_time,complete_filename
303,dwi_FRB20240114A_P_Band_2024_02_09_14_08_04_304,no0001,dw,FRB20240114A,2024-02-09T13:08:13,60349.54737268519,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,26.44137,51.34459,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.55431712964,FRB20240114A_P_Band_2024_02_09_14_08_04.txt
6,dwi_FRB20240114A_L1_Band_2024_02_09_14_08_04_7,no0001,dw,FRB20240114A,2024-02-09T13:08:16,60349.54740740764,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,26.45692,51.34795,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.55435185083,FRB20240114A_L1_Band_2024_02_09_14_08_04.txt
304,dwi_FRB20240114A_P_Band_2024_02_09_14_18_13_305,no0001,dw,FRB20240114A,2024-02-09T13:18:14,60349.55432870371,21:27:40.9011,321.920421319528,04:21:00.0007,4.35000020642714,True,29.50607,52.05596,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.56127314815,FRB20240114A_P_Band_2024_02_09_14_18_13.txt
7,dwi_FRB20240114A_L1_Band_2024_02_09_14_18_16_8,no0001,dw,FRB20240114A,2024-02-09T13:18:17.0001,60349.554363426505,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,29.52168,52.05971,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.56130786969,FRB20240114A_L1_Band_2024_02_09_14_18_16.txt
305,dwi_FRB20240114A_P_Band_2024_02_09_14_28_14_306,no0001,dw,FRB20240114A,2024-02-09T13:28:15,60349.56128472222,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,32.51313,52.83734,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.56822916667,FRB20240114A_P_Band_2024_02_09_14_28_14.txt
8,dwi_FRB20240114A_L1_Band_2024_02_09_14_28_17_9,no0001,dw,FRB20240114A,2024-02-09T13:28:18.0001,60349.56131944523,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,32.5277,52.84137,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.56826388842,FRB20240114A_L1_Band_2024_02_09_14_28_17.txt
306,dwi_FRB20240114A_P_Band_2024_02_09_14_38_15_307,no0001,dw,FRB20240114A,2024-02-09T13:38:16,60349.568240740744,21:27:40.8028,321.920011508177,04:21:00.1006,4.35002795407065,True,35.45841,53.68506,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.57518518519,FRB20240114A_P_Band_2024_02_09_14_38_15.txt
9,dwi_FRB20240114A_L1_Band_2024_02_09_14_38_18_10,no0001,dw,FRB20240114A,2024-02-09T13:38:19.0001,60349.56827546368,21:27:40.9011,321.920421319528,04:21:00.0007,4.35000020642714,True,35.47285,53.68946,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.57521990687,FRB20240114A_L1_Band_2024_02_09_14_38_18.txt
307,dwi_FRB20240114A_P_Band_2024_02_09_14_48_16_308,no0001,dw,FRB20240114A,2024-02-09T13:48:17,60349.575196759266,21:27:40.8028,321.920011508177,04:21:00.2005,4.35005570171415,True,38.34116,54.59556,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.58214120371,FRB20240114A_P_Band_2024_02_09_14_48_16.txt
10,dwi_FRB20240114A_L1_Band_2024_02_09_14_48_19_11,no0001,dw,FRB20240114A,2024-02-09T13:48:20.0001,60349.57523148211,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,38.35557,54.60032,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.582175925294,FRB20240114A_L1_Band_2024_02_09_14_48_19.txt
308,dwi_FRB20240114A_P_Band_2024_02_09_14_58_17_309,no0001,dw,FRB20240114A,2024-02-09T13:58:18,60349.58215277778,21:27:40.9011,321.920421319528,04:21:00.0007,4.35000020642714,True,41.16111,55.56527,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,3125000,0.4608,600.0,32,640,160,1536000,384000,0,False,327,60349.589097222226,FRB20240114A_P_Band_2024_02_09_14_58_17.txt
11,dwi_FRB20240114A_L1_Band_2024_02_09_14_58_20_12,no0001,dw,FRB20240114A,2024-02-09T13:58:21,60349.58218750027,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,41.17532,55.57032,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,3024193,0.47616,599.9998912,32,1280,320,3072000,768000,0,False,327,60349.58913194346,FRB20240114A_L1_Band_2024_02_09_14_58_20.txt
309,dwi_FRB20240114A_P_Band_2024_02_09_15_08_18_310,no0001,dw,FRB20240114A,2024-02-09T14:08:19,60349.589108796295,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,43.91803,56.59053,2_(summed),192.0,410.0625,400.125,1400,0.125,160,20,1_of_1,0.503,2400,2075403,0.4608,398.477376,32,640,160,1536000,384000,0,False,327,60349.593720802965,FRB20240114A_P_Band_2024_02_09_15_08_18.txt
12,dwi_FRB20240114A_L1_Band_2024_02_09_15_08_21_13,no0001,dw,FRB20240114A,2024-02-09T14:08:22,60349.589143518664,21:27:40.8028,321.920011508177,04:21:00.0007,4.35000020642714,True,43.93187,56.59576,2_(summed),198.4,1250.15625,1200.3125,1400,0.3125,320,100,1_of_1,0.165,2400,1993365,0.47616,395.483616,32,1280,320,3072000,768000,0,False,327,60349.59372087533,FRB20240114A_L1_Band_2024_02_09_15_08_21.txt
