,id,station,toa,toa_utc,peak_sn,fluence,fluence_err,width_ms,spectral-density,spec_den_err,spectral-luminosity,spec_lum_err,bandwidth,central frequency,2bit-wb-tag
66,B61-tr,tr,60380.44063322275,60380.44477488623,11.23,23.85,4.77,3.84,8.48,1.7,22.08,4.42,128.0,1414.0,0.0
67,B62-st,st,60380.4479876291,60380.4521409637,64.97,144.71,28.94,4.15,51.43,10.29,123.93,24.79,98.0,1381.0,0.0
68,B63-o8,o8,60380.44799063407,60380.4521403785,179.5,194.56,38.91,3.58,69.14,13.83,192.97,38.59,128.0,1424.0,0.0
69,B64-tr,tr,60380.45895315967,60380.4630940993,5.67,15.19,3.04,10.24,5.4,1.08,5.27,1.05,128.0,1414.0,0.0
70,B65-o8,o8,60380.46630015496,60380.47044918007,4.67,7.09,1.42,4.1,2.52,0.5,6.15,1.23,90.0,1424.0,0.0
71,B65-tr,tr,60380.4663086921,60380.470449340966,5.03,6.21,1.24,4.61,2.21,0.44,4.79,0.96,128.0,1414.0,0.0
72,B66-st,st,60380.5228116008,60380.52696201324,6.18,25.49,5.1,9.61,9.06,1.81,9.43,1.89,73.0,1381.0,0.0
73,B67-o8,o8,60380.5228145924,60380.52696139409,6.8,24.11,4.82,13.31,8.57,1.71,6.44,1.29,128.0,1424.0,0.0
74,B66-tr,tr,60380.52282313823,60380.52696155035,9.05,28.53,5.71,11.26,10.14,2.03,9.0,1.8,128.0,1414.0,0.0
75,B68-o8,o8,60380.52519874757,60380.52934545536,5.35,4.08,0.82,2.05,1.45,0.29,7.08,1.42,82.0,1424.0,0.0
76,B68-tr,tr,60380.52520729577,60380.529345613424,8.61,5.78,1.16,2.82,2.06,0.41,7.3,1.46,128.0,1414.0,0.0
77,B70-o8,o8,60380.54601245165,60380.550158339305,5.9,9.16,1.83,4.1,3.25,0.65,7.95,1.59,128.0,1424.0,0.0
78,B71-o8,o8,60380.55077735976,60380.55492305957,6.58,17.37,3.47,11.26,6.17,1.23,5.48,1.1,128.0,1424.0,0.0
79,B72-o8,o8,60380.55913709116,60380.56328246132,4.73,5.25,1.05,5.12,1.87,0.37,3.64,0.73,92.0,1424.0,0.0
80,B73-st,st,60380.59207278564,60380.59622050784,15.81,42.19,8.44,5.02,15.0,3.0,29.85,5.97,98.0,1381.0,0.0
81,B73-o8,o8,60380.59207571755,60380.59621978784,20.33,27.9,5.58,4.86,9.91,1.98,20.39,4.08,128.0,1416.0,0.0
